candidate_id,req_id,department,role,stage,source,applied_date,stage_date,days_in_stage,recruiter_email
C0311,R-302,Marketing,Growth Analyst,Rejected,Referral,2026-08-16,2026-08-21,5,
C0002,R-101,Engineering,Senior Backend Engineer,Phone Screen,LinkedIn,2026-07-12,2026-08-05,24,s.malik@company.com
C0106,R-103,Engineering,ML Engineer,Phone Screen,Careers Page,2026-09-04,2026-09-30,26,s.malik@company.com
C0314,R-301,Marketing,Content Marketer,Rejected,Referral,2026-08-03,2026-08-10,7,f.ahmed@company.com
C0263,R-202,Sales,Sales Development Rep,Offer Extended,Job Board,2026-07-09,2026-07-26,17,n.hussain@company.com
C0199,R-202,Sales,Sales Development Rep,Rejected,Job Board,2026-08-28,2026-09-07,10,n.hussain@company.com
C0080,R-102,Engineering,Frontend Engineer,Rejected,LinkedIn,2026-07-18,2026-08-01,14,s.malik@company.com
C0183,R-202,Sales,Sales Development Rep,Offer Extended,Careers Page,2026-08-23,2026-09-26,34,n.hussain@company.com
C0215,R-201,Sales,Account Executive,Rejected,LinkedIn,2026-07-11,2026-07-17,6,n.hussain@company.com
C0037,R-101,Engineering,Senior Backend Engineer,Rejected,Agency,2026-07-31,2026-08-04,4,s.malik@company.com
C0044,R-101,Engineering,Senior Backend Engineer,Phone Screen,Referral,2026-09-13,2026-09-23,10,s.malik@company.com
C0051,R-101,Engineering,Senior Backend Engineer,Onsite,LinkedIn,2026-08-06,2026-08-17,11,s.malik@company.com
C0154,R-101,Engineering,Senior Backend Engineer,Phone Screen,Job Board,2026-07-19,2026-08-19,31,s.malik@company.com
C0277,R-302,Marketing,Growth Analyst,Rejected,Careers Page,2026-07-18,2026-07-26,8,f.ahmed@company.com
C0161,R-102,Engineering,Frontend Engineer,Applied,LinkedIn,2026-08-18,2026-08-29,11,s.malik@company.com
C0268,R-202,Sales,Sales Development Rep,Rejected,Referral,2026-07-09,2026-07-13,4,n.hussain@company.com
C0011,R-101,Engineering,Senior Backend Engineer,Phone Screen,LinkedIn,2026-08-01,2026-08-24,23,s.malik@company.com
C0295,R-302,Marketing,Growth Analyst,Offer Extended,Careers Page,2026-09-19,2026-09-22,3,f.ahmed@company.com
C0191,R-201,Sales,Account Executive,Rejected,Job Board,2026-07-23,2026-07-26,3,n.hussain@company.com
C0164,R-102,Engineering,Frontend Engineer,Applied,Agency,2026-09-14,2026-09-20,6,s.malik@company.com
C0083,R-104,Engineering,DevOps Engineer,Applied,LinkedIn,2026-08-16,2026-08-30,14,s.malik@company.com
C0143,R-101,Engineering,Senior Backend Engineer,Applied,Job Board,2026-07-31,2026-08-13,13,s.malik@company.com
C0063,R-101,Engineering,Senior Backend Engineer,Rejected,LinkedIn,2026-09-21,2026-09-30,9,s.malik@company.com
C0285,R-301,Marketing,Content Marketer,Offer Extended,Referral,2026-08-20,2026-08-24,4,f.ahmed@company.com
C0075,R-101,Engineering,Senior Backend Engineer,Hired,Job Board,2026-09-25,2026-09-30,5,s.malik@company.com
C0078,R-104,Engineering,DevOps Engineer,Phone Screen,LinkedIn,2026-07-12,2026-08-27,46,s.malik@company.com
C0211,R-202,Sales,Sales Development Rep,Rejected,Referral,2026-07-24,2026-08-02,9,n.hussain@company.com
C0255,R-201,Sales,Account Executive,Hired,Job Board,2026-07-16,2026-07-22,6,n.hussain@company.com
C0267,R-201,Sales,Account Executive,Onsite,Referral,2026-09-20,2026-09-24,4,n.hussain@company.com
C0205,R-201,Sales,Account Executive,Offer Extended,Job Board,2026-08-12,2026-09-16,35,n.hussain@company.com
C0010,R-103,Engineering,ML Engineer,Applied,Referral,2026-08-08,2026-08-21,13,s.malik@company.com
C0260,R-202,Sales,Sales Development Rep,Hired,LinkedIn,2026-08-30,2026-09-08,9,n.hussain@company.com
C0216,R-202,Sales,Sales Development Rep,Offer Extended,Referral,2026-08-04,2026-08-16,12,n.hussain@company.com
C0092,R-104,Engineering,DevOps Engineer,Phone Screen,Job Board,2026-07-22,2026-08-29,38,s.malik@company.com
C0050,R-103,Engineering,ML Engineer,Rejected,LinkedIn,2026-07-22,2026-07-28,6,s.malik@company.com
C0048,R-101,Engineering,Senior Backend Engineer,Rejected,Referral,2026-07-21,2026-07-26,5,s.malik@company.com
C0207,R-201,Sales,Account Executive,Rejected,Job Board,2026-08-15,2026-08-18,3,n.hussain@company.com
C0003,R-101,Engineering,Senior Backend Engineer,Phone Screen,Job Board,2026-09-08,2026-09-30,22,s.malik@company.com
C0073,R-104,Engineering,DevOps Engineer,Phone Screen,Job Board,2026-09-15,2026-09-30,15,s.malik@company.com
C0133,R-104,Engineering,DevOps Engineer,Onsite,Job Board,2026-07-15,2026-07-18,3,s.malik@company.com
C0060,R-102,Engineering,Frontend Engineer,Applied,Job Board,2026-07-14,2026-07-22,8,s.malik@company.com
C0013,R-101,Engineering,Senior Backend Engineer,Applied,LinkedIn,2026-08-10,2026-08-18,8,s.malik@company.com
C0159,R-101,Engineering,Senior Backend Engineer,Phone Screen,Job Board,2026-07-04,2026-07-23,19,s.malik@company.com
C0243,R-202,Sales,Sales Development Rep,Applied,Job Board,2026-07-11,2026-07-17,6,n.hussain@company.com
C0312,R-302,Marketing,Growth Analyst,Offer Extended,Agency,2026-08-04,2026-08-15,11,f.ahmed@company.com
C0188,R-201,Sales,Account Executive,Applied,Referral,2026-07-17,2026-07-31,14,n.hussain@company.com
C0198,R-201,Sales,Account Executive,Applied,Job Board,2026-09-13,2026-09-23,10,n.hussain@company.com
